"사용","카테고리","난이도","발표 주제","슬라이드1 제목","슬라이드1 내용","슬라이드2 제목","슬라이드2 내용","슬라이드3 제목","슬라이드3 내용","참고자료"
"TRUE","과학","고급","양자 얽힘","멀리 떨어져도 하나처럼 연결된 상태","양자 얽힘은 두 입자의 상태를 각각 따로 설명할 수 없고 하나의 공동 상태로만 설명되는 현상이다. 한 입자를 측정하면 두 입자의 결과 사이에 고전적으로 설명하기 어려운 강한 상관관계가 나타난다.","빛보다 빠른 문자 메시지는 아니다","측정 결과 하나하나는 무작위라서 원하는 정보를 즉시 보낼 수 없다. 다만 두 측정 결과를 나중에 비교하면 벨 부등식을 위반하는 상관관계가 확인되어, 단순한 숨은 답안표 설명과 다름을 보여준다.","양자 통신과 계산의 자원","얽힘은 양자 암호, 양자 텔레포테이션, 양자 컴퓨터의 핵심 자원이다. 질문: 관측 전에는 값이 정해져 있지 않다는 설명을 일상적 상식과 어떻게 구분해 말할까?",""
"TRUE","과학","고급","엔트로피","에너지는 왜 한 방향으로 퍼질까?","열역학에서 엔트로피는 한 거시적 상태를 만들 수 있는 미시적 배열의 수와 관련된 양이다. 고립된 계에서는 전체 엔트로피가 감소하지 않는다는 제2법칙이 과정의 방향을 정한다.","정돈되지 않음보다 가능성의 수","향수가 방 안에 퍼지는 상태는 한곳에 모인 상태보다 가능한 분자 배열이 훨씬 많다. 우연히 다시 병 안으로 모일 가능성은 0은 아니지만 사실상 관찰하기 어렵다.","냉장고도 엔트로피를 없애지 못한다","냉장고 내부를 차갑게 만들지만 바깥으로 더 많은 열을 방출해 전체 엔트로피를 증가시킨다. 질문: 생명체가 질서를 만드는 모습은 제2법칙과 모순일까?",""
"TRUE","과학","고급","초전도체","전기저항이 0이 되는 물질","초전도체는 특정 임계온도 아래에서 직류 전기저항이 사실상 0이 되고 내부 자기장을 밀어내는 마이스너 효과를 보이는 물질이다. 단순히 저항이 매우 작은 도체와는 다른 양자 상태다.","전자들이 짝을 이루어 움직인다","전통적 초전도 이론에서는 전자들이 격자 진동의 도움으로 쿠퍼쌍을 이루고 하나의 집단 상태로 움직인다. 온도·자기장·전류가 임계값을 넘으면 이 상태가 깨진다.","강력하지만 차갑게 유지해야 한다","MRI, 입자가속기, 자기부상과 전력 장치에 쓰이지만 냉각 비용과 재료 가공성이 걸림돌이다. 질문: 상온·상압 초전도체가 실현되면 가장 먼저 바뀔 산업은 무엇일까?",""
"TRUE","과학","중급","CRISPR 유전자 가위","DNA의 특정 문장을 찾아 고친다","CRISPR 유전자 가위는 안내 RNA가 목표 DNA 서열을 찾고 Cas 단백질이 그 부위를 자르도록 하는 유전자 편집 도구다. 세포가 절단 부위를 복구하는 과정에서 유전자를 끄거나 바꿀 수 있다.","정확한 주소와 세포의 수리 기능","안내 RNA는 염기서열 주소 역할을 하고 Cas9은 절단 도구 역할을 한다. 목표와 비슷한 다른 위치를 자르는 오프타깃과 원하는 방식으로 복구되지 않는 문제가 있어 검증이 필요하다.","치료 가능성과 다음 세대의 윤리","체세포 치료는 환자 개인에 영향을 주지만 배아·생식세포 편집은 후손에게 전달될 수 있다. 질문: 치료 목적과 능력 향상의 경계를 어디에 그어야 할까?",""
"TRUE","과학","입문","도플러 효과","움직이면 소리의 높이가 달라진다","도플러 효과는 파동의 발생원과 관측자가 서로 가까워지거나 멀어질 때 관측되는 주파수가 달라지는 현상이다. 구급차가 다가올 때 사이렌이 높고 지나간 뒤 낮게 들리는 이유다.","파동 사이의 간격이 압축되고 늘어난다","소리원이 관측자 쪽으로 움직이면 앞쪽 파면 간격인 파장이 짧아져 주파수가 높아진다. 멀어지면 파장이 길어져 주파수가 낮아지며, 빛에서도 청색편이와 적색편이로 나타난다.","속도를 재는 파동의 자","레이더 속도계, 혈류 초음파, 천체의 운동 측정에 활용된다. 질문: 움직이는 음원과 움직이는 관측자는 결과가 완전히 같을까?",""
"TRUE","과학","고급","다크 매터","보이지 않지만 중력으로 드러나는 물질","다크 매터는 빛을 거의 내거나 흡수하지 않아 직접 보이지 않지만 중력 효과로 존재가 추정되는 물질이다. 은하의 별들이 보이는 질량만으로 예상한 것보다 빠르게 도는 현상이 대표 증거다.","은하 회전과 중력렌즈가 남긴 단서","은하단이 뒤쪽 빛을 휘게 하는 중력렌즈와 우주배경복사, 대규모 구조 형성 자료도 추가 질량을 요구한다. 다만 어떤 입자로 이루어졌는지는 아직 확인되지 않았다.","모른다는 사실도 과학의 결과다","암흑물질 후보를 직접 검출하려는 실험과 중력이론을 수정하려는 설명이 경쟁한다. 질문: 직접 보지 못한 대상을 과학적으로 존재한다고 말하려면 어떤 증거가 필요할까?",""
"TRUE","과학","고급","핵융합 발전","태양의 에너지를 지상에서 만들기","핵융합은 가벼운 원자핵이 결합해 더 무거운 핵이 될 때 질량 일부가 에너지로 바뀌는 반응이다. 지상에서는 주로 중수소와 삼중수소를 매우 뜨거운 플라스마로 만들어 반응시키려 한다.","1억 도 플라스마를 가두는 방법","토카막은 강한 자기장으로 플라스마가 벽에 닿지 않게 가두고, 관성 가둠은 레이저로 작은 연료 캡슐을 순간 압축한다. 발전소는 투입 에너지를 넘어 지속적으로 열을 회수해야 한다.","연료는 풍부하지만 장치는 어렵다","운전 중 탄소 배출과 장수명 고준위 폐기물은 적을 수 있지만 재료 손상, 삼중수소 생산, 경제성이 과제다. 질문: 기술적 성공과 상업적 성공은 어떻게 다를까?",""
"TRUE","과학","고급","후성유전학","DNA 글자는 같아도 읽는 방식은 다르다","후성유전학은 DNA 염기서열 자체를 바꾸지 않고 유전자가 얼마나 켜지고 꺼지는지가 달라지는 현상을 연구한다. 같은 DNA를 가진 세포가 근육·신경세포로 달라지는 데 중요한 역할을 한다.","메틸 표지와 단백질 포장이 스위치가 된다","DNA 메틸화와 히스톤 변형은 유전자 주변을 열거나 닫아 전사 가능성을 바꾼다. 환경과 생활습관이 일부 표지에 영향을 줄 수 있지만 모든 경험이 후손에게 그대로 유전되는 것은 아니다.","운명도 아니고 마음대로 바꾸는 버튼도 아니다","암 진단·치료와 발생 연구에 중요하지만 원인과 결과를 구분해야 한다. 질문: 유전자와 환경 중 어느 하나만으로 사람의 특성을 설명할 수 있을까?",""
"TRUE","과학","고급","상대성 이론","시간과 공간은 관측자에 따라 달라진다","특수상대성이론은 모든 관성계에서 물리 법칙과 진공 속 빛의 속력이 같다고 본다. 그 결과 빠르게 움직이는 시계는 느리게 가고 길이는 운동 방향으로 줄어드는 시간 지연과 길이 수축이 나타난다.","중력은 시공간의 휘어짐이다","일반상대성이론에서는 질량과 에너지가 시공간을 휘게 하고 물체와 빛은 그 휘어진 경로를 따른다. 강한 중력장에서는 시간도 더 느리게 흐른다.","GPS가 매일 상대성을 보정한다","위성 시계는 속도와 중력 차이 때문에 지상 시계와 다르게 흐르므로 보정하지 않으면 위치 오차가 빠르게 커진다. 질문: 상대적이라는 말이 모든 의견이 똑같다는 뜻과 왜 다를까?",""
"TRUE","과학","고급","페로브스카이트 태양전지","얇게 만들어도 빛을 잘 흡수하는 전지","페로브스카이트 태양전지는 특정 결정 구조를 가진 광흡수층으로 빛을 전기로 바꾼다. 용액 공정과 저온 제조가 가능해 가볍고 유연한 태양전지로 발전할 가능성이 크다.","빛이 전자와 정공을 만든다","빛을 흡수하면 전자와 정공이 생기고 서로 다른 수송층을 따라 전극으로 이동해 전류가 흐른다. 실리콘 전지 위에 쌓는 탠덤 구조는 서로 다른 파장 영역을 나눠 흡수할 수 있다.","효율 기록보다 수명이 중요하다","수분·열·자외선에 대한 안정성과 납 성분, 대면적 균일 제조가 상용화 과제다. 질문: 효율이 높지만 수명이 짧은 전지는 어떤 장소에 먼저 적용할 수 있을까?",""
"TRUE","수학","고급","푸리에 변환","복잡한 파형을 주파수로 펼쳐보기","푸리에 변환은 시간이나 공간에 따라 변하는 신호를 여러 주파수 성분의 크기와 위상으로 바꾸어 표현한다. 음악 한 구간을 어떤 높이의 음들이 얼마나 섞였는지 보여주는 것과 비슷하다.","파형과 사인파의 닮은 정도를 계산한다","각 주파수의 사인·코사인파와 신호를 곱해 누적하면 그 성분의 크기를 얻는다. 이산 푸리에 변환과 빠른 푸리에 변환은 디지털 데이터에서 이를 효율적으로 계산한다.","소리·영상·진동을 해석하는 공통 언어","잡음 제거, 음성 압축, 영상 처리, 기계 고장 진단에 쓰인다. 질문: 시간 영역에서는 잘 안 보이지만 주파수 영역에서 쉽게 찾을 수 있는 정보는 무엇일까?",""
"TRUE","수학","입문","프랙탈","확대해도 비슷한 모양이 반복된다","프랙탈은 전체와 부분에서 비슷한 구조가 반복되는 자기유사성과 정수가 아닐 수 있는 차원을 가진 기하학적 형태다. 나뭇가지, 해안선, 번개에서 완전하지 않은 프랙탈 특징을 볼 수 있다.","아주 단순한 규칙이 복잡한 그림을 만든다","선분을 일정한 규칙으로 나누고 꺾는 과정을 반복하면 코흐 곡선처럼 끝없이 복잡한 경계가 생긴다. 측정 자의 길이를 줄일수록 해안선 길이가 늘어나는 현상도 프랙탈 차원과 관련된다.","자연을 닮은 안테나와 그래픽","안테나 설계, 컴퓨터 그래픽, 혈관 구조 분석에 활용된다. 질문: 똑같은 모양이 무한히 반복되어야만 프랙탈이라고 부를 수 있을까?",""
"TRUE","수학","고급","베이즈 정리","새로운 증거가 믿음을 어떻게 바꾸는가","베이즈 정리는 어떤 가설의 사전확률에 관측 증거가 나타날 가능성을 반영해 사후확률을 계산한다. 처음의 믿음을 데이터로 업데이트하는 규칙이라고 볼 수 있다.","양성 판정이 곧 질병은 아니다","유병률이 매우 낮으면 정확한 검사라도 양성자 중 실제 환자 비율은 생각보다 낮을 수 있다. P(가설|증거)는 P(증거|가설)와 같지 않다는 점이 핵심이다.","진단·스팸 필터·로봇 위치 추정","센서가 불확실할 때 여러 관측을 결합하는 데 유용하지만 사전확률 선택이 결과에 영향을 준다. 질문: 충분한 데이터가 없다면 사전확률을 어떻게 정해야 공정할까?",""
"TRUE","수학","입문","게임 이론","상대의 선택까지 생각하는 수학","게임 이론은 여러 참여자의 결과가 서로의 선택에 달려 있을 때 전략과 보상을 분석한다. 여기서 게임은 오락만이 아니라 가격 경쟁, 협상, 교통 선택 같은 상황을 뜻한다.","모두에게 최선이 개인의 최선과 다를 수 있다","죄수의 딜레마에서는 각자 배신이 유리해 보여 둘 다 배신하지만, 협력했을 때보다 결과가 나쁘다. 누구도 혼자 전략을 바꿔 이득을 얻지 못하는 상태를 내시 균형이라 한다.","규칙을 바꾸면 선택도 바뀐다","반복 게임, 보상, 신뢰와 정보 공개는 협력을 늘릴 수 있다. 질문: 학교 공동 과제에서 무임승차를 줄이는 규칙을 게임 이론으로 어떻게 설계할까?",""
"TRUE","수학","입문","미분과 변화율","순간의 변화를 숫자로 잡아내기","미분은 입력이 아주 조금 변할 때 출력이 얼마나 변하는지를 나타내는 순간변화율이다. 위치를 시간으로 미분하면 순간 속도, 속도를 미분하면 가속도가 된다.","두 점의 기울기를 한 점으로 좁힌다","곡선 위 두 점을 잇는 평균 기울기에서 두 점 사이 간격을 0에 가깝게 줄이면 접선의 기울기인 도함수를 얻는다. 이 극한 개념이 순간이라는 말을 수학적으로 만든다.","최대·최소와 제어의 도구","기울기가 0이 되는 지점을 찾아 비용을 줄이거나 성능을 높이고, 로봇의 속도·가속도 제어에도 활용한다. 질문: 기울기가 0인 모든 점이 최대나 최소일까?",""
"TRUE","수학","고급","몬테카를로 방법","무작위 표본으로 어려운 계산을 푼다","몬테카를로 방법은 난수를 반복 생성해 복잡한 확률·면적·예측 값을 근사하는 계산 방법이다. 정확한 식을 풀기 어렵더라도 많은 시행의 평균으로 답에 접근한다.","원을 맞힌 점의 비율로 원주율을 구한다","정사각형 안에 점을 무작위로 뿌리고 원 안에 들어간 비율을 세면 면적비로 π를 추정할 수 있다. 표본 수가 늘면 보통 오차는 줄지만 빠르게 0이 되지는 않는다.","불확실성을 결과 분포로 보여준다","금융 위험, 방사선 이동, 설계 공차, 게임 AI에 쓰인다. 질문: 난수가 진짜 무작위가 아니어도 신뢰할 수 있는 결과를 얻으려면 무엇을 확인해야 할까?",""
"TRUE","수학","고급","카오스 이론","규칙은 정확한데 미래는 예측하기 어렵다","카오스 이론은 결정론적 규칙을 따르면서도 초기조건의 아주 작은 차이가 시간이 지나며 크게 증폭되는 동역학을 다룬다. 무작위와 같아 보이지만 규칙이 없는 것은 아니다.","나비효과는 민감한 초기조건의 비유","날씨 모델에서 온도나 바람의 작은 측정 오차가 장기 예측을 크게 바꿀 수 있다. 위상공간에서는 궤적이 이상 끌개 주변에서 복잡한 구조를 만들기도 한다.","예측 한계를 아는 것도 기술이다","기상, 생태계, 진동, 전력망 분석에 활용되며 짧은 예측과 확률적 전망이 중요해진다. 질문: 더 좋은 센서가 생기면 장기 예측 한계가 완전히 사라질까?",""
"TRUE","수학","중급","그래프 이론","점과 선으로 관계를 계산한다","그래프 이론에서 정점은 사람·도시·부품 같은 대상을, 간선은 친구·도로·연결 같은 관계를 나타낸다. 모양보다 무엇이 연결되어 있는지가 핵심이다.","최단 경로와 연결 구조를 찾는다","가중치가 있는 간선에 거리나 시간을 넣으면 다익스트라 알고리즘 등으로 최단 경로를 구할 수 있다. 모든 정점을 최소 비용으로 잇는 최소 신장 트리도 대표 문제다.","지도부터 소셜 네트워크까지","통신망, 배선, 추천 시스템, 작업 순서 계획에 활용된다. 질문: 가장 짧은 길과 가장 안전하거나 덜 막히는 길은 그래프에서 어떻게 다르게 표현할까?",""
"TRUE","수학","고급","무한의 크기","무한에도 서로 다른 크기가 있다","칸토어는 자연수와 일대일로 짝지을 수 있는 집합을 가산무한이라 정의했다. 짝수는 자연수의 일부지만 n과 2n을 짝지을 수 있어 같은 크기의 무한이다.","실수는 목록으로 다 셀 수 없다","0과 1 사이 실수를 전부 나열했다고 가정해도 대각선 자리 숫자를 바꿔 목록에 없는 새 실수를 만들 수 있다. 이 대각선 논법은 실수가 자연수보다 큰 비가산무한임을 보인다.","직관을 넘어 정의로 판단하기","무한 집합에서는 부분이 전체와 같은 크기일 수 있어 유한한 직관이 깨진다. 질문: 끝없이 많다는 표현만으로 두 무한의 크기가 같다고 말할 수 있을까?",""
"TRUE","수학","고급","최적화 문제","가능한 선택 중 가장 좋은 답 찾기","최적화는 제한조건을 지키면서 비용을 최소화하거나 성능을 최대화하는 변수를 찾는 문제다. 목적함수, 결정변수, 제약조건을 명확히 쓰는 것이 출발점이다.","기울기를 따라 내려가거나 조합을 탐색한다","연속 문제는 경사하강법으로 목적함수가 줄어드는 방향을 찾고, 정수·조합 문제는 분기한정법이나 휴리스틱을 사용한다. 지역 최적해가 전체 최적해와 다를 수 있다.","빠른 답과 완벽한 답의 선택","로봇 경로, 생산 일정, 물류, AI 학습에 쓰이며 큰 문제에서는 근사해가 실용적일 수 있다. 질문: 1% 더 좋은 답을 찾는 데 계산 시간이 100배 든다면 가치가 있을까?",""
"TRUE","기술·AI","입문","생성형 인공지능","배운 패턴으로 새로운 결과를 만든다","생성형 인공지능은 많은 데이터에서 패턴과 확률적 관계를 학습해 글·이미지·소리·코드 같은 새 결과를 생성한다. 검색처럼 저장된 정답을 그대로 꺼내는 것과는 다르다.","다음 토큰을 예측해 문장을 이어간다","대규모 언어모델은 앞의 문맥을 바탕으로 다음 토큰의 확률을 계산하고 하나씩 이어 붙인다. 그럴듯함을 최적화하므로 사실과 다른 환각이 생길 수 있어 검증이 필요하다.","도구가 강해질수록 질문과 검증이 중요하다","아이디어·초안·개인화 학습에 유용하지만 저작권, 개인정보, 편향 문제가 있다. 질문: 과제에서 AI 사용을 금지하기보다 과정과 출처를 기록하게 하는 규칙은 어떨까?",""
"TRUE","기술·AI","중급","디지털 트윈","현실의 설비를 데이터로 복제한다","디지털 트윈은 실제 기계·공장·도시의 상태를 센서 데이터와 모델로 연결한 가상 대응물이다. 단순 3D 모델과 달리 현실의 변화가 지속적으로 반영되는 것이 핵심이다.","센서·모델·피드백이 순환한다","온도·진동·전력 데이터를 수집해 가상 모델을 업데이트하고 고장이나 생산량을 시뮬레이션한다. 분석 결과를 정비 일정이나 제어값으로 다시 현실에 적용하면 폐루프가 된다.","고장 전에 실험할 수 있는 공장","예지정비와 공정 최적화에 유용하지만 센서 오류와 부정확한 모델은 잘못된 판단을 만든다. 질문: 현실과 가상이 얼마나 비슷해야 디지털 트윈이라 부를 수 있을까?",""
"TRUE","기술·AI","입문","블록체인","여러 컴퓨터가 공유하는 변경 어려운 장부","블록체인은 거래 기록을 블록으로 묶어 이전 블록의 해시와 연결하고 여러 참여자가 같은 장부를 보관하는 기술이다. 한 기관을 전적으로 믿지 않아도 기록 순서를 합의하려는 구조다.","해시와 합의가 기록을 보호한다","기록을 바꾸면 해시가 달라져 뒤의 연결이 깨지고, 합의 알고리즘이 어떤 새 블록을 인정할지 결정한다. 그러나 입력 정보가 거짓이면 블록체인이 자동으로 진실로 바꾸지는 못한다.","탈중앙화에는 비용과 선택이 따른다","결제, 자산 추적, 스마트 계약에 활용되지만 처리 속도·에너지·규제 문제가 있다. 질문: 학교 증명서를 블록체인으로 관리할 때 기존 데이터베이스보다 나은 점이 정말 있을까?",""
"TRUE","기술·AI","고급","엣지 컴퓨팅","데이터가 생긴 곳 가까이에서 계산한다","엣지 컴퓨팅은 모든 데이터를 먼 클라우드로 보내지 않고 센서·로봇·현장 서버 가까이에서 처리하는 방식이다. 빠른 반응과 통신량 감소가 목적이다.","즉시 판단은 현장, 큰 학습은 클라우드","자율주행의 장애물 감지는 밀리초 단위라 차량 안에서 처리하고, 장기 데이터 분석과 모델 업데이트는 클라우드가 맡을 수 있다. 엣지와 클라우드를 나누어 설계하는 것이 중요하다.","지연을 줄이는 대신 관리 지점은 늘어난다","공장 제어·CCTV·스마트시티에 유리하지만 수많은 장치의 보안과 업데이트가 어려워진다. 질문: 개인정보 보호와 계산 성능 중 무엇을 엣지 배치의 기준으로 삼을까?",""
"TRUE","기술·AI","고급","강화학습","보상을 통해 행동 전략을 배운다","강화학습은 에이전트가 환경에서 행동하고 보상과 다음 상태를 경험하며 장기 보상을 크게 만드는 정책을 학습하는 방법이다. 정답 행동표 대신 시행착오에서 배운다.","탐험과 활용 사이의 균형","이미 좋은 행동을 선택하는 활용만 하면 더 나은 전략을 놓칠 수 있고, 새로운 행동을 시험하는 탐험만 하면 성과가 낮다. 현재 보상과 미래 보상을 잇는 가치함수가 핵심이다.","게임에서는 성공해도 현실은 더 어렵다","로봇 제어·추천·자원 관리에 쓰이지만 보상 설계를 잘못하면 의도하지 않은 꼼수를 배울 수 있다. 질문: 청소 로봇에게 점수만 준다면 어떤 예상 밖 행동을 할 수 있을까?",""
"TRUE","기술·AI","고급","뉴로모픽 컴퓨팅","뇌의 신호 방식을 닮은 컴퓨터","뉴로모픽 컴퓨팅은 뉴런과 시냅스의 연결, 사건이 생길 때만 전달되는 스파이크 신호를 하드웨어와 알고리즘으로 구현하려는 분야다. 낮은 전력으로 감각 정보를 처리하는 것이 목표다.","메모리와 계산을 가까이 둔다","기존 컴퓨터는 메모리와 연산장치 사이로 데이터를 계속 옮기지만 뉴로모픽 칩은 시냅스 가중치 저장과 연산을 가까이 배치한다. 비동기 스파이크 처리는 필요할 때만 에너지를 쓴다.","효율은 높지만 프로그래밍은 낯설다","이벤트 카메라, 로봇, 항상 켜진 센서에 적합하지만 표준 소프트웨어와 학습 방법이 부족하다. 질문: 뇌를 닮았다는 것이 곧 사람처럼 생각한다는 뜻일까?",""
